id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-LAILN-202512210000-202512210000,Fort Smith,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.8829,60.0053,#9e9e9e
AQ_FCST-LALNA-202512210000-202512210000,Inuvik,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-133.7297,68.3609,#9e9e9e
AQ_FCST-KAHFT-202512210000-202512210037,Whitehorse,,2025-12-21T00:00:00Z,2025-12-21T00:37:00Z,4:00 PM PST Saturday 20 December 2025,4h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-135.0808333,60.6961111,#9e9e9e
AQ_FCST-LARCU-202512210000-202512210000,Norman Wells,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-126.8316,65.2811,#9e9e9e
AQ_FCST-IACGW-202512210000-202512210000,Lamont County,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-112.7844444,53.7591666,#9e9e9e
AQ_FCST-IABOA-202512210000-202512210000,Drayton Valley,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.9808333,53.2241666,#9e9e9e
AQ_FCST-LBAMG-202512210000-202512210000,Yellowknife,,2025-12-21T00:00:00Z,2025-12-21T00:00:00Z,5:00 PM MST Saturday 20 December 2025,5h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.37,62.4536,#9e9e9e
AQ_FCST-IAFFM-202512210100-202512210000,Fort Saskatchewan,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.217777777778,53.7111111111111,#9e9e9e
AQ_FCST-JBMQO-202512210100-202512210100,Smithers,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-127.176111,54.779167,#9e9e9e
AQ_FCST-JBRIK-202512210100-202512210100,Metro Vancouver - NW,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.113889,49.261111,#9e9e9e
AQ_FCST-JCMDB-202512210100-202512210100,Kitimat,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-128.652222,54.053333,#9e9e9e
AQ_FCST-IAKID-202512210100-202512210000,Calgary,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.0575,51.0458333333333,#9e9e9e
AQ_FCST-JAIQY-202512210100-202512210100,Cranbrook,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-115.7667,49.5,#9e9e9e
AQ_FCST-LBAMG-202512210100-202512210000,Yellowknife,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-114.37,62.4536,#9e9e9e
AQ_FCST-JBHJG-202512210100-202512210100,South Okanagan,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-119.45,49.0333333333333,#9e9e9e
