id,name,province,aqhi,observed,lon,lat,color
AQ_OBS-FCGKZ-20250821000000,Oakville,,1.9,2025-08-21T00:00:00Z,-79.7138888888889,43.4563888888889,#0099cb
AQ_OBS-FEUZB-20250821000000,Toronto,,1.87,2025-08-21T00:00:00Z,-79.3733333333333,43.7416666666667,#0099cb
AQ_OBS-JCLMX-20250821000000,WestShore,,1.81,2025-08-21T00:00:00Z,-123.493333,48.423611,#0099cb
AQ_OBS-FCNJT-20250821000000,Windsor West,,2.13,2025-08-21T00:00:00Z,-83.0594444,42.2830556,#016797
AQ_OBS-FALIF-20250821000000,Brampton,,2.03,2025-08-21T00:00:00Z,-79.7608333333333,43.6883333333333,#016797
AQ_OBS-JAFUV-20250821000000,Central Okanagan,,1.71,2025-08-21T00:00:00Z,-119.483333333333,49.8833333333333,#0099cb
AQ_OBS-BAEMV-20250821000000,St. Peters Bay,,1.18,2025-08-21T00:00:00Z,-62.5833333333333,46.4166666666667,#0099cb
AQ_OBS-FAZKI-20250821000000,Dorset,,1.72,2025-08-21T00:00:00Z,-78.8927778,45.2447222,#0099cb
AQ_OBS-DAFQX-20250821000000,Bathurst,,1.69,2025-08-21T00:00:00Z,-65.6283,47.6261,#0099cb
AQ_OBS-AAEOU-20250821000000,Corner Brook,,1.27,2025-08-21T00:00:00Z,-57.922167,48.9521,#0099cb
AQ_OBS-IADGP-20250821000000,Lethbridge,,2.41,2025-08-21T00:00:00Z,-112.841944444444,49.6936111111111,#016797
AQ_OBS-JAIQY-20250821000000,Cranbrook,,2.69,2025-08-21T00:00:00Z,-115.7667,49.5,#016797
AQ_OBS-FEBWC-20250821000000,Kitchener,,1.81,2025-08-21T00:00:00Z,-80.4727778,43.4186111,#0099cb
AQ_OBS-LALNA-20250821000000,Inuvik,,1.0,2025-08-21T00:00:00Z,-133.7297,68.3609,#01cbff
AQ_OBS-FEUTC-20250821000000,Chatham,,1.52,2025-08-21T00:00:00Z,-82.12876,42.43396,#0099cb
AQ_OBS-DALZZ-20250821000000,Edmundston,,1.97,2025-08-21T00:00:00Z,-68.294444,47.377222,#0099cb
AQ_OBS-FDGEJ-20250821000000,Peterborough,,1.75,2025-08-21T00:00:00Z,-78.3333333,44.3011111,#0099cb
AQ_OBS-BAARG-20250821000000,Charlottetown,,1.28,2025-08-21T00:00:00Z,-63.1347222222222,46.2402777777778,#0099cb
AQ_OBS-CATHI-20250821000000,Lake Major,,1.58,2025-08-21T00:00:00Z,-63.467261,44.71338,#0099cb
AQ_OBS-JBLVS-20250821000000,Prince George,,1.57,2025-08-21T00:00:00Z,-122.75,53.9166666666667,#0099cb
AQ_OBS-JCVCJ-20250821000000,Squamish,,2.41,2025-08-21T00:00:00Z,-123.133333,49.75,#016797
AQ_OBS-FBLKS-20250821000000,Hamilton Mountain,,1.79,2025-08-21T00:00:00Z,-79.82235,43.23039,#0099cb
AQ_OBS-JBXHZ-20250821000000,Metro Vancouver - NE,,2.32,2025-08-21T00:00:00Z,-122.683333333333,49.2333333333333,#016797
AQ_OBS-FCWOV-20250821000000,Tiverton,,1.53,2025-08-21T00:00:00Z,-81.5444444,44.2669444,#0099cb
AQ_OBS-DAFMJ-20250821000000,Fredericton,,1.65,2025-08-21T00:00:00Z,-66.666667,45.945278,#0099cb
AQ_OBS-FCWFX-20250821000000,Thunder Bay,,1.18,2025-08-21T00:00:00Z,-89.2677778,48.4013889,#0099cb
AQ_OBS-IAIDN-20250821000000,Brooks,,3.14,2025-08-21T00:00:00Z,-111.895,50.567222,#fffe03
AQ_OBS-JBTMB-20250821000000,Williams Lake,,1.0,2025-08-21T00:00:00Z,-122.141666666667,52.1416666666667,#01cbff
AQ_OBS-FBKKK-20250821000000,Guelph,,1.66,2025-08-21T00:00:00Z,-80.22899,43.53571,#0099cb
AQ_OBS-IAKID-20250821000000,Calgary,,2.56,2025-08-21T00:00:00Z,-114.0575,51.0458333333333,#016797
AQ_OBS-FDSUS-20250821000000,Parry Sound,,2.03,2025-08-21T00:00:00Z,-80.0361111,45.3538889,#016797
AQ_OBS-FCTOV-20250821000000,Sudbury,,2.39,2025-08-21T00:00:00Z,-80.9775,46.5011111,#016797
AQ_OBS-JCVCC-20250821000000,Eastern Fraser Valley,,2.14,2025-08-21T00:00:00Z,-121.941666666667,49.175,#016797
AQ_OBS-JBHJG-20250821000000,South Okanagan,,2.17,2025-08-21T00:00:00Z,-119.45,49.0333333333333,#016797
AQ_OBS-JBMPJ-20250821000000,Sparwood,,2.52,2025-08-21T00:00:00Z,-114.885833,49.733333,#016797
AQ_OBS-JCJHI-20250821000000,Whistler,,1.91,2025-08-21T00:00:00Z,-122.966666666667,50.1166666666667,#0099cb
AQ_OBS-FDEGT-20250821000000,Windsor,,2.13,2025-08-21T00:00:00Z,-82.9936111111111,42.3022222222222,#016797
AQ_OBS-JAGPB-20250821000000,Fort St. John,,1.0,2025-08-21T00:00:00Z,-120.846667,56.2525,#01cbff
AQ_OBS-BADSZ-20250821000000,Summerside (Wellington),,1.43,2025-08-21T00:00:00Z,-64.0,46.45,#0099cb
AQ_OBS-FDQBU-20250821000000,Toronto East,,1.7,2025-08-21T00:00:00Z,-79.2308334,43.7558333,#0099cb
AQ_OBS-FBLJL-20250821000000,Hamilton Downtown,,1.95,2025-08-21T00:00:00Z,-79.8418,43.24504,#0099cb
AQ_OBS-LBAMG-20250821000000,Yellowknife,,3.0,2025-08-21T00:00:00Z,-114.37,62.4536,#016797
AQ_OBS-FEARV-20250821000000,Sarnia,,2.03,2025-08-21T00:00:00Z,-82.3177777,42.9813889,#016797
AQ_OBS-ABEFS-20250821000000,St. John's,,1.3,2025-08-21T00:00:00Z,-52.7252777777778,47.5658333333333,#0099cb
AQ_OBS-GBEIN-20250821000000,Winnipeg,,1.65,2025-08-21T00:00:00Z,-97.1463888888889,49.8844444444444,#0099cb
AQ_OBS-FCWYG-20250821000000,Toronto Downtown,,2.23,2025-08-21T00:00:00Z,-79.3969444,43.6758333,#016797
AQ_OBS-JCAAC-20250821000000,Castlegar,,2.11,2025-08-21T00:00:00Z,-117.666667,49.324722,#016797
AQ_OBS-FCKTB-20250821000000,Toronto West,,1.92,2025-08-21T00:00:00Z,-79.56589,43.71823,#0099cb
AQ_OBS-KAHFT-20250821000000,Whitehorse,,1.34,2025-08-21T00:00:00Z,-135.0808333,60.6961111,#0099cb
AQ_OBS-FEVJS-20250821000000,Belleville,,1.85,2025-08-21T00:00:00Z,-77.3697222,44.2566666,#0099cb
AQ_OBS-FDATE-20250821000000,Windsor Downtown,,2.13,2025-08-21T00:00:00Z,-82.99182,42.3081,#016797
AQ_OBS-IAJWU-20250821000000,Hinton,,1.75,2025-08-21T00:00:00Z,-117.5627778,53.4111111,#0099cb
AQ_OBS-LAILN-20250821000000,Fort Smith,,1.0,2025-08-21T00:00:00Z,-111.8829,60.0053,#01cbff
AQ_OBS-FAYJG-20250821000000,Grand Bend,,1.71,2025-08-21T00:00:00Z,-81.7563889,43.3025,#0099cb
AQ_OBS-CBDPK-20250821000000,Pictou,,1.5,2025-08-21T00:00:00Z,-62.7091666666667,45.6758333333333,#0099cb
AQ_OBS-FEAKO-20250821000000,Mississauga,,1.82,2025-08-21T00:00:00Z,-79.6572222222222,43.5855555555556,#0099cb
AQ_OBS-FDJFN-20250821000000,St. Catharines,,1.62,2025-08-21T00:00:00Z,-79.2533,43.16544,#0099cb
AQ_OBS-FEVNT-20250821000000,Ottawa,,2.59,2025-08-21T00:00:00Z,-75.6769444444444,45.4344444444445,#016797
AQ_OBS-FCIBD-20250821000000,Port Stanley,,1.91,2025-08-21T00:00:00Z,-81.2108334,42.6663888,#0099cb
AQ_OBS-IAHMM-20250821000000,Grande Prairie,,1.74,2025-08-21T00:00:00Z,-118.796111111111,55.1708333333333,#0099cb
AQ_OBS-JCMDB-20250821000000,Kitimat,,1.31,2025-08-21T00:00:00Z,-128.652222,54.053333,#0099cb
AQ_OBS-FDZCP-20250821000000,Sault Ste. Marie,,1.28,2025-08-21T00:00:00Z,-84.3469444,46.5588888,#0099cb
AQ_OBS-CASWE-20250821000000,Kentville,,1.64,2025-08-21T00:00:00Z,-64.4952777777778,45.0775,#0099cb
AQ_OBS-DAEGW-20250821000000,Saint John,,7.0,2025-08-21T00:00:00Z,-66.0388888888889,45.2591666666667,#fd6866
AQ_OBS-FDCHU-20250821000000,Hamilton West,,1.84,2025-08-21T00:00:00Z,-79.9027778,43.2644444,#0099cb
AQ_OBS-CBLGX-20250821000000,Sydney,,1.7,2025-08-21T00:00:00Z,-60.1952777777778,46.1380555555556,#0099cb
AQ_OBS-CBUCG-20250821000000,Halifax,,1.76,2025-08-21T00:00:00Z,-63.57392,44.64625,#0099cb
AQ_OBS-FCCOT-20250821000000,Cornwall,,2.38,2025-08-21T00:00:00Z,-74.7263889,45.0263889,#016797
